Generation  Average Mean Fitness  Standard Deviation Mean Fitness  Average Best Fitness  Standard Deviation Best Fitness
          1              0.033983                         0.000359              0.046982                         0.003661
          2              0.035667                         0.000451              0.046982                         0.003661
          3              0.037853                         0.000652              0.046982                         0.003661
          4              0.040442                         0.001360              0.046982                         0.003661
          5              0.043097                         0.002437              0.046982                         0.003661
          6              0.045477                         0.003422              0.046982                         0.003661
          7              0.046671                         0.003670              0.046982                         0.003661
          8              0.046940                         0.003656              0.046982                         0.003661
          9              0.046981                         0.003660              0.046982                         0.003661
         10              0.046982                         0.003661              0.046982                         0.003661
         11              0.046982                         0.003661              0.046982                         0.003661
         12              0.046982                         0.003661              0.046982                         0.003661
         13              0.046982                         0.003661              0.046982                         0.003661
         14              0.046982                         0.003661              0.046982                         0.003661
         15              0.046982                         0.003661              0.046982                         0.003661
         16              0.046982                         0.003661              0.046982                         0.003661
         17              0.046982                         0.003661              0.046982                         0.003661
         18              0.046982                         0.003661              0.046982                         0.003661
         19              0.046982                         0.003661              0.046982                         0.003661
         20              0.046982                         0.003661              0.046982                         0.003661
         21              0.046982                         0.003661              0.046982                         0.003661
         22              0.046982                         0.003661              0.046982                         0.003661
         23              0.046982                         0.003661              0.046982                         0.003661
         24              0.046982                         0.003661              0.046982                         0.003661
         25              0.046982                         0.003661              0.046982                         0.003661
         26              0.046982                         0.003661              0.046982                         0.003661
         27              0.046982                         0.003661              0.046982                         0.003661
         28              0.046982                         0.003661              0.046982                         0.003661
         29              0.046982                         0.003661              0.046982                         0.003661
         30              0.046982                         0.003661              0.046982                         0.003661
         31              0.046982                         0.003661              0.046982                         0.003661
         32              0.046982                         0.003661              0.046982                         0.003661
         33              0.046982                         0.003661              0.046982                         0.003661
         34              0.046982                         0.003661              0.046982                         0.003661
         35              0.046982                         0.003661              0.046982                         0.003661
         36              0.046982                         0.003661              0.046982                         0.003661
         37              0.046982                         0.003661              0.046982                         0.003661
         38              0.046982                         0.003661              0.046982                         0.003661
         39              0.046982                         0.003661              0.046982                         0.003661
         40              0.046982                         0.003661              0.046982                         0.003661
         41              0.046982                         0.003661              0.046982                         0.003661
         42              0.046982                         0.003661              0.046982                         0.003661
         43              0.046982                         0.003661              0.046982                         0.003661
         44              0.046982                         0.003661              0.046982                         0.003661
         45              0.046982                         0.003661              0.046982                         0.003661
         46              0.046982                         0.003661              0.046982                         0.003661
         47              0.046982                         0.003661              0.046982                         0.003661
         48              0.046982                         0.003661              0.046982                         0.003661
         49              0.046982                         0.003661              0.046982                         0.003661
         50              0.046982                         0.003661              0.046982                         0.003661
