Generation  Average Mean Fitness  Standard Deviation Mean Fitness  Average Best Fitness  Standard Deviation Best Fitness
          1              0.033583                         0.000449              0.053743                         0.005664
          2              0.035279                         0.000893              0.053743                         0.005664
          3              0.038047                         0.001504              0.053743                         0.005664
          4              0.042015                         0.002248              0.053743                         0.005664
          5              0.046309                         0.003073              0.053743                         0.005664
          6              0.050211                         0.004023              0.053743                         0.005664
          7              0.052671                         0.004988              0.053743                         0.005664
          8              0.053512                         0.005487              0.053743                         0.005664
          9              0.053727                         0.005663              0.053743                         0.005664
         10              0.053743                         0.005664              0.053743                         0.005664
         11              0.053743                         0.005664              0.053743                         0.005664
         12              0.053743                         0.005664              0.053743                         0.005664
         13              0.053743                         0.005664              0.053743                         0.005664
         14              0.053743                         0.005664              0.053743                         0.005664
         15              0.053743                         0.005664              0.053743                         0.005664
         16              0.053743                         0.005664              0.053743                         0.005664
         17              0.053743                         0.005664              0.053743                         0.005664
         18              0.053743                         0.005664              0.053743                         0.005664
         19              0.053743                         0.005664              0.053743                         0.005664
         20              0.053743                         0.005664              0.053743                         0.005664
         21              0.053743                         0.005664              0.053743                         0.005664
         22              0.053743                         0.005664              0.053743                         0.005664
         23              0.053743                         0.005664              0.053743                         0.005664
         24              0.053743                         0.005664              0.053743                         0.005664
         25              0.053743                         0.005664              0.053743                         0.005664
         26              0.053743                         0.005664              0.053743                         0.005664
         27              0.053743                         0.005664              0.053743                         0.005664
         28              0.053743                         0.005664              0.053743                         0.005664
         29              0.053743                         0.005664              0.053743                         0.005664
         30              0.053743                         0.005664              0.053743                         0.005664
         31              0.053743                         0.005664              0.053743                         0.005664
         32              0.053743                         0.005664              0.053743                         0.005664
         33              0.053743                         0.005664              0.053743                         0.005664
         34              0.053743                         0.005664              0.053743                         0.005664
         35              0.053743                         0.005664              0.053743                         0.005664
         36              0.053743                         0.005664              0.053743                         0.005664
         37              0.053743                         0.005664              0.053743                         0.005664
         38              0.053743                         0.005664              0.053743                         0.005664
         39              0.053743                         0.005664              0.053743                         0.005664
         40              0.053743                         0.005664              0.053743                         0.005664
         41              0.053743                         0.005664              0.053743                         0.005664
         42              0.053743                         0.005664              0.053743                         0.005664
         43              0.053743                         0.005664              0.053743                         0.005664
         44              0.053743                         0.005664              0.053743                         0.005664
         45              0.053743                         0.005664              0.053743                         0.005664
         46              0.053743                         0.005664              0.053743                         0.005664
         47              0.053743                         0.005664              0.053743                         0.005664
         48              0.053743                         0.005664              0.053743                         0.005664
         49              0.053743                         0.005664              0.053743                         0.005664
         50              0.053743                         0.005664              0.053743                         0.005664
