Generation  Average Mean Fitness  Standard Deviation Mean Fitness  Average Best Fitness  Standard Deviation Best Fitness
          1              0.033388                         0.000182              0.046599                         0.002147
          2              0.033871                         0.000280              0.048686                         0.002787
          3              0.034412                         0.000340              0.049354                         0.002213
          4              0.035059                         0.000376              0.048900                         0.002512
          5              0.035686                         0.000466              0.050184                         0.003277
          6              0.036373                         0.000721              0.052044                         0.003697
          7              0.037222                         0.000986              0.053294                         0.004860
          8              0.038217                         0.001247              0.054478                         0.005086
          9              0.039198                         0.001555              0.055080                         0.005033
         10              0.040398                         0.002044              0.054776                         0.002825
         11              0.041410                         0.002242              0.054548                         0.003484
         12              0.042484                         0.002437              0.055430                         0.003318
         13              0.043539                         0.002468              0.055902                         0.004660
         14              0.044405                         0.002570              0.057381                         0.006003
         15              0.045277                         0.002624              0.058368                         0.005946
         16              0.046212                         0.002779              0.057936                         0.005478
         17              0.047229                         0.002590              0.060032                         0.007860
         18              0.048228                         0.002614              0.060032                         0.007860
         19              0.049045                         0.002710              0.059957                         0.007577
         20              0.049779                         0.002868              0.061401                         0.007531
         21              0.050536                         0.003261              0.061184                         0.008096
         22              0.051208                         0.003835              0.061184                         0.008096
         23              0.051778                         0.004063              0.061864                         0.007900
         24              0.052710                         0.005122              0.061789                         0.007638
         25              0.053449                         0.005607              0.061789                         0.007638
         26              0.053822                         0.005860              0.062157                         0.007568
         27              0.054443                         0.006392              0.062449                         0.007207
         28              0.055109                         0.006540              0.063293                         0.007528
         29              0.055204                         0.006459              0.063293                         0.007528
         30              0.055263                         0.006484              0.063769                         0.007906
         31              0.055536                         0.006587              0.063769                         0.007906
         32              0.055669                         0.006539              0.063769                         0.007906
         33              0.055844                         0.006428              0.064662                         0.008244
         34              0.056012                         0.006426              0.065430                         0.008067
         35              0.056137                         0.006624              0.066452                         0.006932
         36              0.056495                         0.006504              0.066452                         0.006932
         37              0.056716                         0.006526              0.066868                         0.006792
         38              0.056937                         0.006491              0.066868                         0.006792
         39              0.057465                         0.006412              0.067563                         0.005788
         40              0.057783                         0.006249              0.067236                         0.006396
         41              0.058057                         0.006260              0.067236                         0.006396
         42              0.058661                         0.005933              0.067236                         0.006396
         43              0.059060                         0.006214              0.067236                         0.006396
         44              0.059506                         0.005895              0.067236                         0.006396
         45              0.060129                         0.006049              0.067236                         0.006396
         46              0.060663                         0.005680              0.067236                         0.006396
         47              0.060744                         0.005657              0.067785                         0.007003
         48              0.061003                         0.005590              0.067785                         0.007003
         49              0.061338                         0.005707              0.068588                         0.006479
         50              0.061371                         0.005603              0.068588                         0.006479
